,Date,USD/USDT,USD/ETH,USDT/ETH,ETH/USDT,9_ema_USDT/ETH,12_ema_USDT/ETH,26_ema_USDT/ETH,9_ema_ETH/USDT,12_ema_ETH/USDT,26_ema_ETH/USDT,rsi_ETH/USDT,rsi_USDT/ETH
115,2021-04-26,1.000155,2318.42,0.0004313950880340921,2318.0607005914085,0.00043382378694575255,0.0004372181421890886,0.0004622928777111763,2309.2025120731537,2294.524492016598,2191.2874377452767,56.58743974540631,56.58743974540631
116,2021-04-27,0.999841,2534.0,0.0003945702446724546,2534.4029700722417,0.000425973078491093,0.0004306569271865295,0.0004572763863749747,2354.242603672971,2331.4288732559276,2216.7034031028297,64.1952296476855,64.1952296476855
117,2021-04-28,1.000163,2667.8621721579093,0.0003748930549853011,2667.427381494726,0.00041575707378993466,0.00042207786992480204,0.000451173917383147,2416.879559237322,2383.1209514465118,2250.0903644651926,67.91809944752937,67.91809944752937
118,2021-04-29,0.999814,2750.2618251777885,0.0003635341154965738,2750.7734690430307,0.0004053124821312625,0.00041307113847430536,0.00044468208020636386,2483.658341198464,2439.6828772305917,2287.1780018413288,70.02133448089047,70.02133448089047
119,2021-04-30,1.000044,2758.439058789445,0.00036253982005274906,2758.3176928109615,0.0003967579497155598,0.0004052970894863736,0.00043859746834313314,2538.5902115209637,2488.70361808911,2322.0772382094497,70.21169964171195,70.21169964171195
120,2021-05-01,0.999871,2776.4438924203214,0.0003601264922837602,2776.8020998912075,0.00038943165822919986,0.00039834776683981773,0.0004327848034498463,2586.2325891950127,2533.026461443279,2355.7605612969874,70.70258504907383,70.70258504907383
121,2021-05-02,0.999912,2948.92,0.0003390773571341372,2949.179527798446,0.00037936079801018736,0.000389229242269713,0.00042584351113016415,2658.8219769156995,2597.050010113305,2399.7175217785766,74.86275958748466,74.86275958748466
122,2021-05-03,0.999959,2951.6863803228102,0.00033877549006091896,2951.8074044263917,0.00037124373642033367,0.0003814671265452832,0.0004193940280879978,2717.419062417838,2651.6280707768565,2440.613068641378,74.92122484014638,74.92122484014638
123,2021-05-04,0.999931,3432.945037039985,0.00029127498087245184,3433.18192659292,0.00035524998531075733,0.00036759141182638605,0.00040990372829425366,2860.571635252855,2771.867125517789,2514.1366877488995,82.80887128598314,82.80887128598314
124,2021-05-05,0.999983,3240.640744598555,0.00030857570425439927,3240.6958364277743,0.00034591512909948574,0.00035851207219992655,0.0004023979487357459,2936.5964754878387,2843.994619503941,2567.9558839473348,72.93118321888592,72.93118321888592
125,2021-05-06,1.000069,3529.070382265696,0.00028338029329920774,3528.826893210064,0.00033340816193943017,0.00034695333698443135,0.0003935818261108171,3055.042559032284,2949.3534308433445,2639.131514263093,77.29676047016979,77.29676047016979
126,2021-05-07,1.000048,3492.459978134096,0.0002863448704526865,3492.2923481013872,0.0003239955036420815,0.00033762895751800903,0.00038563834791391854,3142.4925168461045,3032.88249503689,2702.32861306593,75.63115757025739,75.63115757025739
127,2021-05-08,0.999949,3484.200222728871,0.000286995274690852,3484.377926003097,0.00031659545785183563,0.0003298391601599849,0.0003783314536010988,3210.8695986775033,3102.3433305701524,2760.2581918020164,75.25286015489908,75.25286015489908
128,2021-05-09,1.000168,3917.2352494166735,0.00025532497700998113,3916.5772644362482,0.0003043413616834647,0.0003183754396753689,0.0003692198627424975,3352.0111318292525,3227.6100896264747,2845.911456441589,80.87782174601968,80.87782174601968
129,2021-05-10,0.999801,3922.96,0.0002548588310867304,3923.74082442406,0.00029444485556411786,0.0003086036537386553,0.0003607486752124407,3466.357070348214,3334.7071257491802,2925.750668884735,80.95509033001849,80.95509033001849
130,2021-05-11,0.999813,3946.960000000001,0.00025331216936579033,3947.6982195670603,0.0002862183183244524,0.0003000972715274453,0.0003527904155200962,3562.6253001919836,3429.013447875008,3001.450487453796,81.2282804729044,81.2282804729044
131,2021-05-12,1.000067,4172.33,0.0002396902929538172,4172.050472618334,0.00027691271325032537,0.0002908038902084256,0.0003444126286633348,3684.510334677254,3543.3268362970584,3088.1615974659844,83.60067829320353,83.60067829320353
132,2021-05-13,0.99992,3825.0,0.0002614169934640523,3825.3060244819585,0.0002738135692930708,0.00028628282917082966,0.00033826480383375836,3712.669472638195,3586.708249863966,3142.764888356057,69.07136018809345,69.07136018809345
133,2021-05-14,1.000096,3708.95,0.0002696439693174619,3708.5939749784015,0.000272979649297949,0.0002837230045780038,0.00033318177905477343,3711.8543731062364,3605.459899881572,3184.678154031786,64.97788763556257,64.97788763556257
134,2021-05-15,0.99996,4094.99,0.00024419107250567154,4095.153806152246,0.0002672219339394935,0.0002776411688745681,0.0003265898748659511,3788.5142597154386,3680.797423923214,3252.120794929598,71.08926054752708,71.08926054752708
135,2021-05-16,1.000124,3627.19,0.00027572969709334225,3626.7402842047586,0.00026892348657026326,0.00027734709629284105,0.00032282245429020225,3756.159464613303,3672.4809408896053,3279.870386727758,57.90366166454919,57.90366166454919
136,2021-05-17,0.999851,3588.29,0.00027864275184001294,3588.824734885498,0.00027086733962421324,0.0002775464279154829,0.0003195498837383364,3722.692518667742,3659.6107553505117,3302.755893998702,56.98234527859519,56.98234527859519
137,2021-05-18,0.999983,3283.29,0.0003045673699246792,3283.345816878887,0.00027760734568430646,0.00028170349591689767,0.00031844006790028774,3634.8231783099714,3601.723841739493,3301.3181105083454,50.06995091428851,50.06995091428851
138,2021-05-19,1.00062,3386.3124927371355,0.0002954895633956112,3384.2142798836076,0.0002811837892265674,0.0002838244293751613,0.000316740030529571,3584.701398624699,3568.260832223203,3307.4585674991054,52.13470243016053,52.13470243016053
139,2021-05-20,1.001725,2442.614147126982,0.00041010365930216,2438.4078935106763,0.00030696776324168595,0.00030325200321008417,0.0003236558548830961,3355.442697601895,3394.4373031905066,3243.0844434999626,36.77731495438315,36.77731495438315
140,2021-05-21,1.001907,2774.514775741053,0.000361110709793354,2769.2338467952145,0.0003177963525520196,0.00031215334268443337,0.0003264302885801523,3238.200927440559,3298.2521560527694,3207.984399299611,43.09192258779301,43.09192258779301
141,2021-05-22,1.001962,2441.27,0.0004104265402843602,2436.4896073903,0.0003363223900984877,0.00032727229616134516,0.00033265223315083437,3077.8586634305075,3165.6733024123896,3150.8366369359583,38.88511649081776,38.88511649081776
